LIMIT_BAL,EDUCATION,SEX_MAR,AgeBin,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Closeness_1,Closeness_2,Closeness_3,Closeness_4,Closeness_5,Closeness_6,diff,default
20000,2,2,3,-1,-1,2,-1,-1,-2,390,1170,780,780,0,0,1170,0,0,0,0,0,19610,18830,19220,19220,20000,20000,1950,1
70000,2,4,1,-1,-1,-1,-1,-1,-1,19508,19633,19685,18887,19073,20208,2000,2000,1000,2000,3003,3007,50492,50367,50315,51113,50927,49792,103984,0
50000,2,2,3,-1,-1,-1,-1,-1,-1,2635,27299,21206,20127,19049,19730,27921,1262,656,655,2433,1000,47365,22701,28794,29873,30951,30270,76119,0
110000,2,2,3,-1,-1,-1,-1,-1,-1,120767,133593,125852,118254,120537,112021,24800,4400,4300,4205,4500,4304,-10767,-23593,-15852,-8254,-10537,-2021,684515,0
100000,1,4,2,1,2,-1,-1,-1,-1,7130,6873,8101,8235,34087,34749,0,1500,565,36252,1500,2500,92870,93127,91899,91765,65913,65251,56858,0
20000,2,1,2,-2,-2,-2,-2,-1,-1,-66,-66,460,-201,1600,0,0,526,201,1801,0,0,20066,20066,19540,20201,18400,20000,-801,0
120000,2,2,1,-1,-1,-1,-1,-1,-1,30925,73143,73130,74898,76779,79594,43272,3120,2888,3001,4500,2500,89075,46857,46870,45102,43221,40406,349188,0
50000,2,2,1,-1,-1,-1,-1,-1,-1,5385,4754,-43,1757,-765,18032,2000,0,1800,0,19000,4000,44615,45246,50043,48243,50765,31968,2320,0
140000,2,1,1,1,2,2,2,2,2,73302,74539,75724,73909,78305,76888,3000,3000,0,5763,0,6100,66698,65461,64276,66091,61695,63112,434804,1
140000,2,1,2,-1,-1,-1,-1,-1,-1,711,711,711,10976,711,711,711,711,10976,711,711,291,139289,139289,139289,129024,139289,139289,420,1
250000,1,2,2,-1,-1,-1,-1,-1,-1,196409,182372,191040,199400,206988,167607,6023,15000,10011,11214,5315,3180,53591,67628,58960,50600,43012,82393,1093073,0
180000,2,4,2,-1,-1,-1,-1,-1,-1,43779,44213,44561,45130,47790,48222,1751,1712,1894,4000,1837,1711,136221,135787,135439,134870,132210,131778,260790,0
130000,2,2,1,-1,-1,-1,-2,-2,-2,55348,55400,0,0,0,0,1650,0,0,0,0,0,74652,74600,130000,130000,130000,130000,109098,0
200000,1,2,1,-2,-2,-2,-2,-2,-2,2436,3458,758,-2,750,26903,5963,760,0,752,26983,599,197564,196542,199242,200002,199250,173097,-754,0
100000,1,4,1,-1,-1,2,2,2,-1,64086,68836,69704,70566,69311,70844,6005,2600,2600,0,2685,2800,35914,31164,30296,29434,30689,29156,396657,0
20000,2,2,1,-1,-1,-1,-1,-1,-1,15879,15441,9124,12915,4305,18495,4000,2000,10000,500,16000,1000,4121,4559,10876,7085,15695,1505,42659,0
290000,3,4,1,-1,-1,-1,-1,-1,-1,63584,28972,10772,22463,164570,9672,2000,1399,22468,164791,9672,18889,226416,261028,279228,267537,125430,280328,80814,0
110000,1,1,3,-1,-1,-1,-1,-1,-1,106111,108698,105666,57940,59247,59594,5015,4081,2101,2202,2204,2100,3889,1302,4334,52060,50753,50406,479553,0
30000,2,4,1,2,2,5,5,4,3,1200,1200,1200,1200,600,300,0,0,0,0,0,0,28800,28800,28800,28800,29400,29700,5700,0
150000,3,4,1,-1,-1,-1,-1,-1,-1,6319,8190,6686,7686,4526,65839,2000,1000,1000,0,63300,11632,143681,141810,143314,142314,145474,84161,20314,0
150000,2,4,2,-1,-1,-1,-1,-1,-1,1467,698,4102,713,810,5438,701,4137,719,817,5467,9587,148533,149302,145898,149287,149190,144562,-8200,0
120000,1,4,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,120000,120000,120000,120000,120000,120000,0,1
280000,2,1,1,-1,-1,-1,-1,-1,-1,24189,25294,26667,26926,27492,28333,1500,1800,1000,1000,1300,1000,255811,254706,253333,253074,252508,251667,151301,0
90000,2,2,2,1,-2,-2,-2,-2,-1,-191,-191,-191,-191,-191,209,0,0,0,0,550,3780,90191,90191,90191,90191,90191,89791,-5076,0
130000,2,1,2,-1,-1,-1,-1,-1,-1,10896,390,390,390,390,390,390,390,390,390,390,390,119104,129610,129610,129610,129610,129610,10506,0
30000,2,2,1,1,2,2,2,-1,-1,27262,26545,28590,27831,28433,30257,0,2800,0,1050,2300,0,2738,3455,1410,2169,1567,-257,162768,1
100000,1,1,1,-1,-1,-1,-1,-2,-2,91842,40308,41800,0,0,0,1809,2301,0,0,0,0,8158,59692,58200,100000,100000,100000,169840,0
30000,1,4,1,-1,-1,-1,-1,-1,2,20234,20476,21991,22544,24061,23428,2000,3000,2000,2000,1000,0,9766,9524,8009,7456,5939,6572,122734,1
90000,2,2,1,-1,-1,-1,-1,-1,-1,45537,43173,36230,28068,20229,20650,3000,2500,2000,2000,1100,0,44463,46827,53770,61932,69771,69350,183287,0
160000,2,2,1,4,3,2,-1,-1,-1,103398,100925,97701,99434,99527,16331,0,0,2321,432,546,550,56602,59075,62299,60566,60473,143669,513467,0
260000,1,1,4,-1,-1,-1,-1,-1,-2,771,1593,419,529,0,4090,1596,437,529,0,4090,98,259229,258407,259581,259471,260000,255910,652,0
50000,1,2,1,2,-1,-1,-1,-1,-1,48508,45951,44013,28094,29138,30625,2500,2000,1200,1500,2000,1500,1492,4049,5987,21906,20862,19375,215629,1
260000,3,2,1,-1,-1,-1,-1,-1,-1,132755,137049,137558,140455,144032,146615,6417,5000,5184,6000,5026,4005,127245,122951,122442,119545,115968,113385,806832,0
220000,1,4,2,-1,-1,-1,-1,-1,-1,7443,5572,5572,5572,5774,3264,5600,5600,5600,5802,3279,5613,212557,214428,214428,214428,214226,216736,1703,0
20000,2,4,1,-1,-1,-1,-1,-1,-1,19248,20054,19133,19397,19702,20506,2000,1300,678,706,2037,0,752,-54,867,603,298,-506,111319,0
300000,1,4,1,1,5,4,3,2,3,315632,309330,302869,306395,311256,305413,0,0,10000,10000,0,0,-15632,-9330,-2869,-6395,-11256,-5413,1830895,1
250000,1,4,2,1,-2,-2,-2,-2,-2,-129,-129,-329,-329,-329,-529,0,200,0,0,200,86,250129,250129,250329,250329,250329,250529,-2260,0
200000,2,2,2,-1,-1,-1,-1,-1,-1,416,416,416,416,416,0,416,416,416,416,0,832,199584,199584,199584,199584,199584,200000,-416,0
20000,2,4,1,-1,-1,2,-1,-1,-1,13660,15056,15400,12900,19500,0,2000,1000,0,6600,0,0,6340,4944,4600,7100,500,20000,66916,0
50000,2,2,1,3,3,2,2,2,-1,26798,27274,27529,28280,27691,28278,1200,1000,1500,0,1200,1200,23202,22726,22471,21720,22309,21722,159750,1
100000,3,4,1,-1,-1,-1,-1,-1,-1,7220,13677,49773,61244,31410,20529,13695,49813,50054,33,10028,100000,92780,86323,50227,38756,68590,79471,-39770,0
170000,2,1,2,-1,-1,-1,-1,-1,-1,164240,167116,165432,120084,123439,107682,8019,6196,4300,5000,4006,4007,5760,2884,4568,49916,46561,62318,816465,0
120000,1,1,2,-1,-1,-1,-1,-1,-1,68329,72212,79334,80531,80944,78771,5000,9000,3000,3100,3000,3000,51671,47788,40666,39469,39056,41229,434021,0
120000,2,4,2,-1,-1,-1,-1,-1,-1,33814,35033,36175,15833,16170,16897,1766,1908,566,591,1000,626,86186,84967,83825,104167,103830,103103,147465,0
50000,2,2,1,-1,-1,-1,-1,2,-1,37862,17545,18537,19941,19500,18921,1304,1296,1700,2,800,1000,12138,32455,31463,30059,30500,31079,126204,0
260000,1,4,1,-1,-1,-1,-1,-1,-1,63504,66283,67341,54725,36117,35144,4000,3002,2000,2000,2464,1000,196496,193717,192659,205275,223883,224856,308648,0
60000,2,4,3,-1,-1,-1,-1,-1,-2,57657,54173,67300,590,0,0,3400,1650,1180,0,0,400,2343,5827,-7300,59410,60000,60000,173090,0
120000,2,4,1,-1,2,2,-2,-2,-2,200,200,0,0,0,0,0,0,0,0,0,0,119800,119800,120000,120000,120000,120000,400,1
220000,3,2,3,-1,-1,-1,-1,-1,-1,38412,50367,64735,22792,184483,62140,50451,64775,22794,184483,62140,48080,181588,169633,155265,197208,35517,157860,-9794,0
200000,1,2,1,-1,-1,-2,-2,-2,-2,299,-201,-201,-201,-201,-201,0,0,0,0,0,0,199701,200201,200201,200201,200201,200201,-706,0
90000,2,2,3,-1,-1,-1,-1,-1,-1,63049,71245,70819,20301,87497,86938,10000,1612,0,87497,10000,20000,26951,18755,19181,69699,2503,3062,270740,0
310000,1,2,1,-1,-1,-1,-1,-1,-1,184538,153625,142810,125869,107986,83461,5019,3872,3147,2912,5109,1604,125462,156375,167190,184131,202014,226539,776626,0
110000,2,2,2,-1,-1,-1,-1,-1,-1,18328,19385,20400,20729,21465,21740,1300,1280,600,1005,709,732,91672,90615,89600,89271,88535,88260,116421,0
140000,2,4,3,-1,-1,-1,-1,-1,-1,24984,26010,27026,27714,28139,28697,1434,1450,1138,1021,1026,1061,115016,113990,112974,112286,111861,111303,155440,0
160000,1,2,4,-1,-1,-1,-1,-1,-1,63406,64176,2348,2447,10968,10934,2901,2348,2447,10968,531,208,96594,95824,157652,157553,149032,149066,134876,0
80000,2,4,1,2,2,2,2,2,2,23787,23124,26700,27064,27685,27091,0,4300,1100,1200,0,2500,56213,56876,53300,52936,52315,52909,146351,1
500000,1,2,2,-1,-1,-1,-1,-1,-1,251931,301458,234316,199360,163408,186618,101458,10009,20071,20000,35565,18000,248069,198542,265684,300640,336592,313382,1131988,0
130000,2,2,1,-1,-1,-1,-1,-1,-1,130708,132080,130128,101794,101826,101763,6658,5146,4000,4000,3866,3435,-708,-2080,-128,28206,28174,28237,671194,0
240000,2,2,3,-1,-1,-1,2,-1,-1,220439,224653,238637,232995,206167,210100,9657,19253,0,7641,7522,7949,19561,15347,1363,7005,33833,29900,1280969,0
50000,2,4,1,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,47600,47600,47600,47600,47600,47600,14400,1
180000,1,2,3,1,-1,-1,-2,-2,-2,0,1290,0,0,1200,0,1290,0,0,1200,0,0,180000,178710,180000,180000,178800,180000,0,0
240000,2,2,2,-1,-1,-1,-1,-1,-1,1863,15172,8930,7324,10506,10625,15172,8930,0,10526,10625,11982,238137,224828,231070,232676,229494,229375,-2815,1
180000,2,1,2,-1,-1,-1,-1,-1,-1,135001,135199,134817,52629,51543,52781,6100,6000,1900,1680,1900,3888,44999,44801,45183,127371,128457,127219,540502,0
130000,2,2,2,-1,-1,-1,-1,-1,-1,114984,118641,119286,121377,123655,125917,5800,4400,4350,4500,4600,5000,15016,11359,10714,8623,6345,4083,695210,0
50000,1,4,1,-1,-1,-1,-2,-2,-2,12806,13490,0,0,0,0,7522,0,0,0,0,0,37194,36510,50000,50000,50000,50000,18774,1
500000,1,2,2,-1,-1,-1,2,-1,-1,154085,4373,65539,62450,36039,2300,4373,62450,0,500,2300,211192,345915,495627,434461,437550,463961,497700,43971,0
200000,2,1,1,-1,-1,-1,-1,-1,2,168374,172158,175701,181235,192713,189449,8000,7900,10000,14400,0,6700,31626,27842,24299,18765,7287,10551,1032630,0
220000,1,4,1,-2,-2,-2,-2,-2,-2,19030,14287,8183,21189,7838,321,14287,8194,22000,7838,321,21317,200970,205713,211817,198811,212162,219679,-3109,0
70000,2,1,2,-1,-1,2,-1,-1,-1,21670,24401,23716,24124,24684,25222,3400,0,1100,1100,1100,1103,48330,45599,46284,45876,45316,44778,136014,0
440000,1,1,2,-1,-1,-1,-1,-1,-1,21359,18905,16540,13247,7577,1652,5023,3024,1043,3037,1660,365,418641,421095,423460,426753,432423,438348,65128,0
290000,4,1,4,-1,-1,-1,-1,-1,-1,302396,2000,2208,105145,106511,108228,2000,2604,215917,3685,3700,3786,-12396,288000,287792,184855,183489,181772,394796,0
50000,2,4,1,-1,-1,-1,-1,-1,-1,30941,30730,29908,28809,27905,13835,1751,1402,776,773,522,430,19059,19270,20092,21191,22095,36165,156474,0
120000,2,4,1,-1,-1,-1,-1,-1,-1,115653,108971,83592,22321,32150,36644,5000,5000,2000,20000,10000,10000,4347,11029,36408,97679,87850,83356,347331,0
80000,3,2,3,-1,-1,-1,-1,-1,-1,485,10735,2954,24243,7043,13531,10735,2957,24277,7046,13671,3206,79515,69265,77046,55757,72957,66469,-2901,0
170000,2,2,1,-1,-1,-1,-1,-1,-1,164214,165825,167008,131544,125652,127224,8001,7077,5000,5000,5000,5000,5786,4175,2992,38456,44348,42776,846389,0
160000,1,2,3,-1,-1,-1,-1,-1,-1,396,396,396,0,688,396,396,396,0,688,500,0,159604,159604,159604,160000,159312,159604,292,1
280000,1,2,1,-1,2,-1,-1,-1,-1,7712,1171,1599,436,47613,31987,0,2013,436,47613,1472,2275,272288,278829,278401,279564,232387,248013,36709,1
40000,2,2,3,2,2,2,2,-1,-1,31121,30343,34021,33177,33870,34537,0,4514,0,1378,1382,1427,8879,9657,5979,6823,6130,5463,188368,1
80000,3,2,4,-1,-1,-1,-1,-1,-1,66002,68679,70906,71474,72936,63912,5000,5000,3000,3000,3000,3000,13998,11321,9094,8526,7064,16088,391909,0
210000,2,2,3,-1,-1,-1,-1,-1,-1,12555,560,5287,2000,900,406,560,5287,2000,900,406,900,197445,209440,204713,208000,209100,209594,11655,0
60000,2,2,1,2,2,2,2,2,2,56252,57760,58250,56352,57930,16563,3000,2100,0,2801,0,3619,3748,2240,1750,3648,2070,43437,291587,1
20000,2,2,3,-1,-1,-1,-1,-1,-1,14492,15304,16035,16517,16781,17142,1349,1080,562,500,456,218,5508,4696,3965,3483,3219,2858,92106,1
230000,2,4,2,1,-2,-2,-2,-1,-1,2404,681,4048,0,5092,7452,687,4053,0,5092,7464,2485,227596,229319,225952,230000,224908,222548,-104,0
90000,1,2,4,-1,-1,-1,-1,-1,-1,58979,64004,65298,65233,66717,67562,6000,3000,2300,2500,3000,2500,31021,25996,24702,24767,23283,22438,368493,0
170000,1,2,2,-1,-1,-1,-1,-1,-1,736,316,1970,1132,1132,1397,1289,1970,1132,1132,1397,1397,169264,169684,168030,168868,168868,168603,-1634,0
70000,2,4,1,-1,-1,-1,-1,-1,-1,57889,33868,33390,26457,27165,27562,1592,1497,947,1134,1000,1021,12111,36132,36610,43543,42835,42438,199140,0
50000,2,2,1,-1,-1,2,2,2,-1,24043,26806,26077,27898,27315,27709,3165,0,2257,0,1000,2000,25957,23194,23923,22102,22685,22291,151426,0
140000,1,2,3,-2,-2,-2,-2,-1,-1,5349,2210,5472,0,544,0,2216,5472,0,544,0,0,134651,137790,134528,140000,139456,140000,5343,0
50000,3,4,4,-1,-1,-1,-1,-1,-1,47860,47294,45136,29378,29750,30327,1936,3654,1038,1222,1217,946,2140,2706,4864,20622,20250,19673,219732,0
270000,1,4,3,-1,-1,-1,-1,-1,-1,96131,98635,39177,110453,111230,113670,4204,2819,93694,3948,4199,3309,173869,171365,230823,159547,158770,156330,457123,0
170000,2,2,3,2,2,-1,-1,-1,-1,164210,159883,126712,87369,76552,78277,0,6400,3600,3000,3000,3100,5790,10117,43288,82631,93448,91723,673903,1
180000,1,4,1,-1,-1,-1,-1,-1,-1,95757,98098,101255,101341,98419,85259,3880,5114,3238,3401,2980,3000,84243,81902,78745,78659,81581,94741,558516,0
80000,1,4,1,-1,-1,-1,-1,-1,-1,928,4844,3305,3287,630,2436,4844,3326,3287,630,2436,1882,79072,75156,76695,76713,79370,77564,-975,0
450000,1,4,2,-1,-1,-1,-1,-1,-1,71985,85047,74354,57628,57381,14870,15000,1879,20000,20000,5000,50893,378015,364953,375646,392372,392619,435130,248493,0
400000,1,2,1,-1,-1,-1,-1,-1,-1,6748,7777,20192,17337,5396,516,7777,20192,17337,0,516,53871,393252,392223,379808,382663,394604,399484,-41727,0
400000,2,4,2,-1,2,-1,-1,-1,2,1908,952,333,4928,8235,3317,0,333,4928,8235,0,1708,398092,399048,399667,395072,391765,396683,4469,0
60000,3,2,1,-1,-1,-1,-1,-1,-1,57530,59869,59942,28934,27461,28504,3869,2742,1200,1461,1504,1683,2470,131,58,31066,32539,31496,249781,0
110000,1,2,1,-1,-1,-1,-1,-1,-1,51139,53797,56394,58341,60242,62234,3500,3500,3500,3000,3000,3000,58861,56203,53606,51659,49758,47766,322647,0
60000,2,4,1,-1,-1,-1,-1,-1,-1,27295,27403,23837,23078,22618,23950,1724,1600,1000,1000,2500,1300,32705,32597,36163,36922,37382,36050,139057,0
140000,1,2,2,-1,-1,-1,-1,-1,-1,3351,64555,63796,55234,52959,50617,64555,2898,1890,2000,2000,1900,136649,75445,76204,84766,87041,89383,215269,1
20000,2,1,1,-1,-1,-1,-1,-1,-1,10085,11416,12520,12714,13059,13193,1500,1600,700,700,500,1000,9915,8584,7480,7286,6941,6807,66987,1
50000,1,2,2,-1,-1,-1,2,2,2,60762,58791,59529,55405,55904,52160,2300,4400,0,4000,0,4000,-10762,-8791,-9529,-5405,-5904,-2160,327851,1
30000,3,4,4,-1,-1,-1,-1,2,-1,21101,21831,23457,24972,24432,25126,1374,2000,1908,0,1100,1000,8899,8169,6543,5028,5568,4874,133537,0
210000,2,4,1,-1,-1,-1,-1,-1,-1,193345,160508,156422,146954,137937,134581,8000,6005,5200,5500,5000,5500,16655,49492,53578,63046,72063,75419,894542,0
50000,2,2,2,2,2,2,2,2,2,32899,34076,34522,33668,35323,36588,2000,1300,0,2200,2000,1500,17101,15924,15478,16332,14677,13412,198076,1
200000,1,2,2,-1,-1,-1,-2,-1,2,15176,2693,6632,0,734,584,2715,6632,0,734,0,22489,184824,197307,193368,200000,199266,199416,-6751,0
120000,3,2,4,-1,-1,-1,-1,-1,-1,119231,120651,73115,64398,42588,42863,3825,2276,1909,1510,1663,1445,769,-651,46885,55602,77412,77137,450218,0
200000,1,4,1,-1,-1,-1,-1,-2,-1,8972,0,65,0,0,5162,0,65,0,0,5162,0,191028,200000,199935,200000,200000,194838,8972,1
180000,2,2,2,-1,-1,-1,-1,-2,-1,1866,590,360,0,0,414,590,360,0,0,414,0,178134,179410,179640,180000,180000,179586,1866,0
440000,2,2,3,1,-1,-1,-1,-1,-1,-6,1160,1807,-11,2220,165,1166,1891,0,2231,165,1573,440006,438840,438193,440011,437780,439835,-1691,1
150000,2,4,1,-1,-1,-1,-1,-1,-1,7600,8749,10652,32330,15681,6173,1300,3652,33866,410,200,776,142400,141251,139348,117670,134319,143827,40981,0
130000,1,1,6,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,130000,130000,130000,130000,130000,130000,0,1
50000,2,2,1,-1,-1,-1,-1,-1,-1,14661,11586,9275,11181,2931,27209,3000,1000,5000,0,25000,5000,35339,38414,40725,38819,47069,22791,37843,0
180000,2,4,1,1,2,-1,-1,-1,-1,7445,1706,1600,0,22357,21541,0,1600,0,22357,1500,785,172555,178294,178400,180000,157643,158459,28407,1
80000,2,4,1,-1,-1,-1,-1,-1,-1,77139,78690,57259,56939,59066,60008,3010,2100,2000,3000,2500,2100,2861,1310,22741,23061,20934,19992,374391,0
170000,1,4,1,-2,-2,-2,-1,-1,-1,0,0,0,10232,9677,0,0,0,10232,194,0,0,170000,170000,170000,159768,160323,170000,9483,0
150000,1,4,1,-1,-1,-1,-1,-1,-2,18836,5312,740,10,0,0,2000,740,1410,0,0,0,131164,144688,149260,149990,150000,150000,20748,0
240000,2,2,2,-1,-1,-1,-1,-1,-1,179662,180787,181379,170318,128076,64634,7003,8000,8000,2500,2400,2600,60338,59213,58621,69682,111924,175366,874353,0
140000,2,2,1,-1,-1,-1,2,2,2,125080,127751,136996,140813,142170,144587,4688,11421,7580,5000,4913,0,14920,12249,3004,-813,-2170,-4587,783795,1
50000,3,3,4,-1,-1,-1,-1,-1,-1,9404,10745,12058,13256,14437,16985,1500,1500,1400,1400,2800,0,40596,39255,37942,36744,35563,33015,68285,0
20000,2,2,2,-1,-1,-1,-1,-1,-1,9845,5419,6098,6840,8560,13410,3000,2000,1000,2000,5000,0,10155,14581,13902,13160,11440,6590,37172,0
240000,1,2,2,-1,-1,-1,-1,-1,-1,8213,20000,44384,28734,13200,43791,20000,44384,750,2000,81800,1050,231787,220000,195616,211266,226800,196209,8338,0
30000,2,2,3,-1,-1,-1,-1,-1,-1,30226,31237,13511,13781,14070,14350,1676,1223,493,511,514,532,-226,-1237,16489,16219,15930,15650,112226,0
50000,2,4,1,2,2,2,-1,-1,2,5804,6855,6599,6577,7120,6857,1300,0,236,650,0,810,44196,43145,43401,43423,42880,43143,36816,1
20000,2,2,2,-1,-1,2,-1,-1,-1,17450,20358,19722,19616,19228,19878,3200,0,830,750,1000,282,2550,-358,278,384,772,122,110190,1
20000,2,2,4,7,6,5,4,3,2,22858,22246,21623,21000,20388,19915,0,0,0,0,0,994,-2858,-2246,-1623,-1000,-388,85,127036,1
310000,2,2,3,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,310000,310000,310000,310000,310000,310000,0,0
200000,2,2,2,-1,-1,-1,-1,-1,2,13124,11774,6328,4714,42184,39576,1058,6336,10,39585,39,1087,186876,188226,193672,195286,157816,160424,69585,0
330000,3,2,3,1,-1,-1,-1,-1,-1,0,571,0,11942,300,-200,571,0,11942,300,0,0,330000,329429,330000,318058,329700,330200,-200,0
100000,3,2,4,-1,-1,-1,-1,-1,-1,99768,100098,75296,73774,75603,77807,3919,3010,3000,6000,3500,3000,232,-98,24704,26226,24397,22193,479917,0
50000,3,4,2,-1,-1,-1,-1,-1,-1,33507,32401,7087,7227,7378,7527,1108,1118,258,267,271,1147,16493,17599,42913,42773,42622,42473,90958,0
120000,2,2,2,-1,-1,-1,-1,-1,-1,77413,70630,61181,52187,49327,41096,5000,3000,2000,2000,1500,1500,42587,49370,58819,67813,70673,78904,336834,0
160000,1,1,3,-1,-1,-1,-1,-1,3,69896,71971,73996,75065,82472,80984,3810,3831,2900,8800,0,0,90104,88029,86004,84935,77528,79016,435043,0
170000,1,1,5,-1,-1,-1,-1,-1,-1,12980,12724,11888,10802,1477,1302,1550,1000,216,1477,1302,1302,157020,157276,158112,159198,168523,168698,44326,0
50000,3,6,1,2,-1,-1,-1,-2,-2,49929,49667,780,0,0,0,1750,780,0,0,0,0,71,333,49220,50000,50000,50000,97846,0
30000,2,4,1,-1,-1,-1,-2,-2,-2,390,780,0,0,0,0,780,0,0,0,0,0,29610,29220,30000,30000,30000,30000,390,0
150000,1,2,1,-1,-1,-1,-1,-1,-1,146330,147720,148748,104123,132321,37683,4979,3592,2556,2300,1427,1000,3670,2280,1252,45877,17679,112317,701071,0
320000,2,4,2,-1,-1,-1,-1,-1,-1,16003,1933,8835,3728,764,5468,1939,8835,3751,764,5468,749,303997,318067,311165,316272,319236,314532,15225,0
50000,2,2,4,1,2,2,2,2,2,32113,31319,33688,32849,34950,35658,0,3200,0,2795,1431,0,17887,18681,16312,17151,15050,14342,193151,0
20000,1,4,1,-1,-1,-1,-1,-1,-1,18362,19669,16479,16694,17334,17063,1640,1506,721,1000,1000,600,1638,331,3521,3306,2666,2937,99134,0
20000,2,2,1,4,5,4,3,2,-1,20014,19432,18840,18248,17816,18021,0,0,0,0,636,1200,-14,568,1160,1752,2184,1979,110535,1
50000,2,1,2,-1,-1,-1,-1,-1,-1,45398,37433,30609,30432,30254,30088,2008,2000,1500,1501,2105,2219,4602,12567,19391,19568,19746,19912,192881,0
160000,3,1,3,-1,-1,-1,-1,-1,-1,1672,766,762,762,762,762,766,762,762,762,762,762,158328,159234,159238,159238,159238,159238,910,0
20000,2,4,2,-1,-1,-1,-1,-1,-1,19727,20330,20199,19609,19957,2361,2000,1200,0,348,0,420,273,-330,-199,391,43,17639,98215,0
130000,2,1,1,-1,-1,-1,-1,-1,-1,53119,48994,17285,12448,12855,11795,3106,22511,600,1005,1004,1006,76881,81006,112715,117552,117145,118205,127264,1
150000,2,4,1,1,-1,-1,-2,-2,-2,0,10437,4044,594,0,0,10437,4156,600,0,0,9240,150000,139563,145956,149406,150000,150000,-9358,0
20000,2,4,1,-1,-1,-1,-1,-1,-1,16622,18913,15868,16188,14891,3044,3015,5086,5000,3202,5000,694,3378,1087,4132,3812,5109,16956,63529,0
20000,3,1,3,-1,-1,2,2,2,2,10574,13097,12595,13157,12803,13851,3010,0,1070,0,1260,0,9426,6903,7405,6843,7197,6149,70737,1
70000,3,2,4,-1,-1,-2,-2,-2,-1,16976,0,0,0,0,1000,5000,0,0,0,1000,1770,53024,70000,70000,70000,70000,69000,10206,0
50000,1,2,1,-1,-1,-1,-1,-1,-1,18017,18561,19204,19588,20024,18694,1629,1272,656,706,954,700,31983,31439,30796,30412,29976,31306,108171,0
200000,2,1,3,-1,-1,-1,-1,-1,-1,63182,44876,38764,37618,35737,40710,1765,10007,2019,5027,15031,7088,136818,155124,161236,162382,164263,159290,219950,0
320000,2,4,2,-1,-1,-1,-1,-1,-1,3720,4206,15610,10556,11863,5619,4206,15610,10556,8000,5600,2604,316280,315794,304390,309444,308137,314381,4998,0
50000,3,2,2,-1,2,2,-2,-2,-2,780,780,0,0,0,0,0,0,0,0,0,0,49220,49220,50000,50000,50000,50000,1560,0
70000,2,2,1,-1,-1,-1,-1,-1,-1,23018,24044,25059,25559,26094,26612,1400,1415,915,947,952,986,46982,45956,44941,44441,43906,43388,143771,0
200000,3,4,2,-2,-2,-2,-2,-2,-2,0,0,0,0,1246,-3,0,0,0,1246,0,1266,200000,200000,200000,200000,198754,200003,-1269,0
250000,2,2,1,-2,-2,-2,-2,-2,-2,0,256,258,258,258,258,256,258,258,258,258,258,250000,249744,249742,249742,249742,249742,-258,0
70000,1,4,1,-1,-1,-1,-1,-1,-1,66738,68601,65615,66429,67858,69723,3005,3000,2500,2500,3000,1400,3262,1399,4385,3571,2142,277,389559,1
90000,2,2,2,-1,-1,-1,-1,-1,-1,685,0,490,850,1000,1360,0,490,850,1000,1360,0,89315,90000,89510,89150,89000,88640,685,1
400000,1,2,2,-1,-1,-1,-1,-1,2,21930,20489,20734,16476,17857,14656,5028,5030,2012,4014,37,2013,378070,379511,379266,383524,382143,385344,94008,0
130000,1,4,2,-1,-1,-1,-1,-1,-1,2629,9995,7267,2518,16202,2505,9900,4300,2000,16202,2505,2348,127371,120005,122733,127482,113798,127495,3861,0
110000,1,2,3,-1,-1,2,-1,-1,-1,52691,55000,52277,52055,52437,55560,5000,0,2000,3000,5000,2000,57309,55000,57723,57945,57563,54440,303020,0
150000,1,2,2,1,2,2,2,-1,-1,139005,135350,148041,143259,142519,142162,0,15000,0,5099,5472,5000,10995,14650,1959,6741,7481,7838,819765,0
330000,1,4,1,-2,-2,-2,-2,-2,-2,1127,13030,14922,17722,3390,0,13030,2500,3000,3390,0,0,328873,316970,315078,312278,326610,330000,28271,0
30000,3,4,1,2,2,2,-1,-1,-1,28309,31229,29752,27262,27262,24265,3700,0,0,0,0,0,1691,-1229,248,2738,2738,5735,164379,0
360000,1,4,2,-1,-1,-1,-1,-1,-1,42524,53303,3924,43900,88865,12104,53563,3924,43900,50000,12104,960,317476,306697,356076,316100,271135,347896,80169,0
50000,1,1,4,-1,-1,-1,-1,-1,-1,48768,49419,17303,17647,18016,18375,2173,1287,631,653,658,832,1232,581,32697,32353,31984,31625,163294,0
60000,2,4,1,2,2,2,2,2,2,27583,26860,28601,29819,30192,31045,0,2500,2000,1000,1500,0,32417,33140,31399,30181,29808,28955,167100,1
200000,2,4,1,-2,-2,-2,-2,-2,-2,264,264,264,264,264,264,264,264,264,264,264,0,199736,199736,199736,199736,199736,199736,264,0
